siglum	Title	substitle	subsubtitle	editionStmt	folio	page	width	height	binding	foliaDesc	physMedium	plateNum	repoIdent	Annots	items
ED-St-Orch	1. Violine	Kantate.	Den Gefallenen zum Gedächtnis, den Trauernden zum Trost.	Musikverlag Fritz Müller Karlsruhe.	4	7	262	346	tacker	bi,bi	autographierter Druck		M 302, PART	yes	3
	2. Violine	Kantate	Den Gefallenen zum Gedächtnis, den Trauernden zum Trost.	Musikverlag Fritz Müller Karlsruhe.	4	7	262	346	tacker	bi,bi	autographierter Druck		M 302, PART	yes	2
